risk_segment,customers,actual_churn_rate,avg_churn_score,avg_estimated_income,avg_net_value_3m,avg_active_products_count,avg_txn_count_90d,avg_app_login_count_90d,complaint_rate
very_low,23927,0.00033435031554311027,9.728085295061147e-05,457598.37966188823,10582.354506206379,2.9963639403184685,12.484306432064196,5.59012830693359,0.01851464872319973
low,23926,0.0018807991306528462,0.0009940212613815085,445964.85440483154,9625.986350831732,2.60135417537407,10.037198027250689,4.5741452812839585,0.026874529800217338
medium,23926,0.00514085095711778,0.00467645648574946,420121.8693015966,8543.127429156566,2.4360528295578034,9.018515422552872,4.210440524951935,0.022109838669230126
high,23926,0.024283206553540083,0.0275947653539783,413032.43690462253,6800.250605199364,2.3260051826464934,5.823706428153473,2.0413357853381258,0.048900777396974
very_high,23926,0.3745298002173368,0.35441424539313576,427958.758651258,3264.8504819025325,2.1160244085931623,1.9418624090947088,0.5199782663211568,0.03707264064197944
