model,split,rows,roc_auc,pr_auc,precision,recall,f1,recall_at_10,recall_at_20,lift_at_10,lift_at_20,base_churn_rate,mean_score
logistic_regression,test,119631,0.9568644374529697,0.6556770514243293,0.7090336134453782,0.6251286272895658,0.6644427430821394,0.7911092817452151,0.9221033134389792,7.910497700138902,4.61036241442799,0.08123312519330274,0.07755470639451197
random_forest,test,119631,0.9535451374143101,0.6750524863230799,0.7040790473777553,0.5719283803251698,0.6311605723370429,0.7672360568018111,0.918501749331138,7.671783409499954,4.592355195980833,0.08123312519330274,0.07295827505933561
dummy_prior,test,119631,0.5,0.08123312519330274,0.0,0.0,0.0,0.10773821774027578,0.2170199629553406,1.0773011305990414,1.0850635344301565,0.08123312519330274,0.026583971713011474
random_forest,train,331177,0.9273112264336385,0.44317121050266833,0.7299163940385315,0.22807814629713766,0.3475551709216789,0.7392094502498864,0.8915265788278055,7.39202754107756,4.457592514591101,0.02658397171301147,0.02657604672672659
logistic_regression,train,331177,0.9262494493057295,0.4145715900511919,0.7259896729776247,0.2395502044525216,0.36023571611580835,0.7245570195365743,0.8850522489777374,7.245504561237516,4.425221158579928,0.02658397171301147,0.026588037271390676
dummy_prior,train,331177,0.5,0.02658397171301147,0.0,0.0,0.0,0.16651522035438437,0.31758291685597456,1.665137119732591,1.5879002001269866,0.02658397171301147,0.026583971713011478
logistic_regression,valid,179306,0.9532153724795477,0.6101707879759737,0.7111466240511386,0.5372773920917597,0.6121045392022009,0.8098400241472985,0.9191065499547239,8.098219584504797,4.595430233845902,0.055430381582322955,0.05309162336185199
random_forest,valid,179306,0.9485677389377392,0.6298207172238118,0.7006773310275256,0.4891840225374786,0.5761346131058183,0.7946473488278499,0.9132709528121541,7.9462962204520915,4.566252899027832,0.055430381582322955,0.05073780037118283
dummy_prior,valid,179306,0.5,0.055430381582322955,0.0,0.0,0.0,0.12355367743233726,0.24690612737699968,1.2355092122961724,1.2345030973024458,0.055430381582322955,0.026583971713011474
